Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Ram_capacity,Ram_model,Touchscreen,Screen_resolution,Brand_RAM,Model,Clockspeed,Memory1,Memory2,Capacity1,Storage_Type_1,Capacity2,Storage_Type_2
Asus,Notebook,14.0,1366x768,AMD E-Series 6110 1.5GHz,4GB,128GB HDD,AMD Radeon R2,Windows 10,1.65,177.7,4,,0,1366x768,AMD,E-Series 6110,1.5,128GB HDD,,128,HDD,,
HP,Notebook,14.0,1366x768,AMD E-Series 7110 1.8GHz,4GB,128GB HDD,AMD Radeon R2 Graphics,Windows 10,1.86,189.9,4,,0,1366x768,AMD,E-Series 7110,1.8,128GB HDD,,128,HDD,,
Asus,Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,4GB,128GB HDD,AMD Radeon R2 Graphics,Windows 10,2,223.1,4,,0,1366x768,AMD,E-Series 7110,1.8,128GB HDD,,128,HDD,,
Lenovo,Notebook,14.0,1366x768,AMD E-Series 9000 2.2GHz,4GB,128GB HDD,AMD Radeon R2 Graphics,Windows 10,2.2,191.2,4,,0,1366x768,AMD,E-Series 9000,2.2,128GB HDD,,128,HDD,,
HP,Notebook,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4GB,128GB HDD,AMD Radeon R2,Windows 10,2.1,211.0,4,,0,1366x768,AMD,E-Series 9000e,1.5,128GB HDD,,128,HDD,,
Asus,Notebook,11.6,1366x771,AMD E-Series E2-6110 1.5GHz,4GB,128GB HDD,AMD Radeon R2,Windows 10,1.65,127.2,4,,0,1366x771,AMD,E-Series E2-6110,1.5,128GB HDD,,128,HDD,,
Lenovo,Notebook,15.6,1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128GB HDD,AMD Radeon R2 Graphics,Windows 10,2.2,223.1,4,,0,1366x768,AMD,E-Series E2-9000,2.2,128GB HDD,,128,HDD,,
HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4GB,128GB HDD,AMD Radeon R2,Windows 10,2.1,223.1,4,,0,1920x1080,AMD,E-Series E2-9000e,1.5,128GB HDD,,128,HDD,,
Lenovo,Ultrabook,15.6,IPS Panel Full HD 1920x1080,AMD FX 8800P 2.1GHz,16GB,1TB HDD,AMD Radeon R9 M385,Windows 10,2.5,638.7,16,,0,1920x1080,AMD,FX 8800P,2.1,1TB HDD,,1000,HDD,,
Asus,Notebook,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8GB,500GB HDD,AMD Radeon RX 560,Windows 10,2.45,446.9,8,,0,1920x1080,AMD,FX 9830P,3,500GB HDD,,500,HDD,,
Asus,Ultrabook,17.3,Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8GB,256GB SSD,AMD Radeon RX 580,Windows 10 S,3.2,1083.7,8,,0,1920x1080,AMD,Ryzen 1600,3.2,256GB SSD,,256,SSD,,
Asus,Ultrabook,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10 S,3.2,830.5,8,,0,1920x1080,AMD,Ryzen 1700,3,128GB SSD, 1TB HDD,128,SSD,1000,HDD
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10 S,3.2,990.4,16,,0,1920x1080,AMD,Ryzen 1700,3,256GB SSD, 1TB HDD,256,SSD,1000,HDD
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16GB,512GB SSD +  1TB HDD,AMD Radeon RX 580,System Windows 11 Pro,3.25,1406.0,16,,0,1920x1080,AMD,Ryzen 1700,3,512GB SSD, 1TB HDD,512,SSD,1000,HDD
Chuwi,Notebook,11.6,1366x785,Intel Atom x5-Z8300 1.44GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.89,156.6,4,,0,1366x785,Intel,Atom x5-Z8300,1.44,128GB HDD,,128,HDD,,
Asus,Notebook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,0.98,122.7,4,,0,1366x768,Intel,Atom x5-Z8350,1.44,128GB HDD,,128,HDD,,
Vero,Notebook,11.6,1366x769,Intel Atom X5-Z8350 1.44GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.35,125.3,4,,0,1366x769,Intel,Atom X5-Z8350,1.44,128GB HDD,,128,HDD,,
Vero,Notebook,11.6,1366x777,Intel Atom X5-Z8350 1.44GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.45,134.8,4,,0,1366x777,Intel,Atom X5-Z8350,1.44,128GB HDD,,128,HDD,,
Mediacom,Notebook,11.6,1366x783,Intel Atom x5-Z8350 1.44GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.4,152.8,4,,0,1366x783,Intel,Atom x5-Z8350,1.44,128GB HDD,,128,HDD,,
Chuwi,Notebook,11.6,1366x786,Intel Atom x5-Z8350 1.44GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.89,159.1,4,,0,1366x786,Intel,Atom x5-Z8350,1.44,128GB HDD,,128,HDD,,
Mediacom,Notebook,11.6,1366x790,Intel Atom x5-Z8350 1.44GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.4,159.2,4,,0,1366x790,Intel,Atom x5-Z8350,1.44,128GB HDD,,128,HDD,,
Mediacom,Notebook,11.6,1366x791,Intel Atom x5-Z8350 1.44GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.35,163.0,4,,0,1366x791,Intel,Atom x5-Z8350,1.44,128GB HDD,,128,HDD,,
Lenovo,Notebook,14.0,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,0.69,204.0,4,,1,1920x1200,Intel,Atom x5-Z8550,1.44,128GB HDD,,128,HDD,,
Lenovo,Notebook,17.3,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,0.69,306.3,4,,1,1920x1200,Intel,Atom x5-Z8550,1.44,128GB HDD,,128,HDD,,
Lenovo,Notebook,17.3,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,0.69,351.0,4,,1,1920x1200,Intel,Atom x5-Z8550,1.44,128GB HDD,,128,HDD,,
Lenovo,Notebook,17.3,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,256GB SSD,Intel HD Graphics 400,Windows 10,0.69,413.2,4,,1,1920x1200,Intel,Atom x5-Z8550,1.44,256GB SSD,,256,SSD,,
Mediacom,Notebook,11.6,1366x795,Intel Atom Z8350 1.92GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.4,169.4,4,,0,1366x795,Intel,Atom Z8350,1.92,128GB HDD,,128,HDD,,
Acer,Notebook,11.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.3,111.2,4,,0,1366x768,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,,128,HDD,,
Acer,Notebook,11.6,1366x770,Intel Celeron Dual Core 3205U 1.5GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.19,127.2,4,,0,1366x770,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,,128,HDD,,
Acer,Notebook,11.6,1366x773,Intel Celeron Dual Core 3205U 1.5GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.20,133.6,4,,0,1366x773,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core 3205U 1.5GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.20,229.5,4,,0,1920x1080,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,,128,HDD,,
Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,128GB HDD,Intel HD Graphics 510,Windows 10,2.1,203.3,4,,0,1366x768,Intel,Celeron Dual Core 3855U,1.6,128GB HDD,,128,HDD,,
Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,128GB HDD,Intel HD Graphics 510,Windows 10,1.45,239.8,4,,0,1366x768,Intel,Celeron Dual Core 3855U,1.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,128GB HDD,Intel HD Graphics 510,Windows 10,1.45,294.0,4,,0,1366x768,Intel,Celeron Dual Core 3855U,1.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,11.6,1366x780,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.5,146.4,4,,0,1366x780,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,11.6,1366x781,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.5,146.4,4,,0,1366x781,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,11.6,1366x782,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.5,146.4,4,,0,1366x782,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Acer,Notebook,11.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.4,172.0,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.2,235.9,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.2,235.9,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.2,235.9,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.2,235.9,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.20,242.3,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.20,242.3,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.20,242.3,4,,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,,128,HDD,,
Dell,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.8,197.6,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.60,128GB HDD,,128,HDD,,
HP,Notebook,11.6,1366x774,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.17,133.6,4,,0,1366x774,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
HP,Notebook,11.6,1366x775,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.17,133.6,4,,0,1366x775,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
HP,Notebook,11.6,1366x776,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.17,133.6,4,,0,1366x776,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
HP,Notebook,11.6,1366x779,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.44,146.4,4,,0,1366x779,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,11.6,1366x787,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.42,159.2,4,,0,1366x787,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
HP,Notebook,11.6,1366x788,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.44,159.2,4,,0,1366x788,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,11.6,1366x794,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.25,169.4,4,,0,1366x794,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Samsung,Notebook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.15,172.0,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Lenovo,Notebook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,1.43,175.2,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Dell,Notebook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics,Windows 10,2.2,175.8,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.44,178.4,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Asus,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.2,184.1,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Acer,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,2.4,184.8,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Acer,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,2.4,184.8,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Acer,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,2.4,184.8,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Dell,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.26,188.6,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Acer,Notebook,14.0,IPS Panel 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.25,189.9,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
Acer,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,1.68,211.0,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
HP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB HDD,Intel HD Graphics 400,Windows 10,2.1,221.9,4,,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,,128,HDD,,
