Company,TypeName,Inches,OpSys,Weight,Price,Ram_capacity,Ram_model,Touchscreen,Screen_resolution,Brand_RAM,Model,Clockspeed,Memory1,Memory2,Capacity1,Storage_Type_1,Capacity2,Storage_Type_2,ScreenResolution_encoded,Cpu_encoded,Gpu_encoded,Memory_encoded
Lenovo,Notebook,17.3,Windows 10,2.2,351.0,4.0,0,0,1920x1080,AMD,A12-Series 9720P,3.6,128GB HDD,0,128.0,HDD,0.0,0,35,5,7,0
Lenovo,Notebook,17.3,Windows 10,2.2,382.1,8.0,0,0,1920x1080,AMD,A12-Series 9720P,3.6,256GB SSD,0,256.0,SSD,0.0,0,35,5,7,7
Lenovo,Notebook,15.6,Windows 10,2.2,574.8,12.0,0,0,1920x1080,AMD,A12-Series 9720P,3.6,256GB SSD,0,256.0,SSD,0.0,0,35,5,7,7
Lenovo,Ultrabook,17.3,System Windows 10 Home,2.2,606.8,12.0,0,0,1920x1080,AMD,A12-Series 9720P,3.6,256GB SSD,0,256.0,SSD,0.0,0,35,5,7,7
Lenovo,Notebook,15.6,Windows 10,2.8,242.3,4.0,0,0,1600x900,AMD,A4-Series 7210,2.2,128GB HDD,0,128.0,HDD,0.0,0,29,6,14,0
Lenovo,Notebook,14.0,Windows 10,2.19,190.5,4.0,0,0,1366x768,AMD,A6-Series 7310,2.0,128GB HDD,0,128.0,HDD,0.0,0,0,7,15,0
HP,Notebook,15.6,Windows 10,1.86,235.9,4.0,0,0,1366x768,AMD,A6-Series 9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,0,8,16,0
HP,Notebook,15.6,Windows 10,2.1,254.5,4.0,0,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,35,8,15,0
HP,Notebook,15.6,Windows 10,1.86,254.8,4.0,0,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,35,8,16,0
HP,Notebook,15.6,Windows 10,1.86,255.1,4.0,0,0,1366x768,AMD,A6-Series 9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,0,8,16,0
Lenovo,Notebook,15.6,Windows 10,2.2,255.1,4.0,0,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,35,8,5,0
HP,Notebook,17.3,Windows 10,2.71,280.7,4.0,0,0,1920x1080,AMD,A6-Series 9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,35,8,7,0
Lenovo,Notebook,17.3,Windows 10,2.8,331.8,4.0,0,0,1600x900,AMD,A6-Series 9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,29,8,15,0
HP,Notebook,15.6,Windows 10,1.91,285.1,4.0,0,0,1366x768,AMD,A6-Series A6-9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,0,9,16,0
HP,Notebook,17.3,Windows 10,1.91,306.2,4.0,0,0,1920x1080,AMD,A6-Series A6-9220,2.5,128GB HDD,0,128.0,HDD,0.0,0,35,9,6,0
Acer,Notebook,15.6,Windows 10,2.4,247.4,4.0,0,0,1366x768,AMD,A8-Series 7410,2.2,128GB HDD,0,128.0,HDD,0.0,0,0,10,17,0
Acer,Notebook,15.6,Windows 10,2.4,287.1,4.0,0,0,1366x768,AMD,A8-Series 7410,2.2,128GB HDD,0,128.0,HDD,0.0,0,0,10,17,0
Acer,Notebook,17.3,Windows 10,2.23,299.9,4.0,0,0,1920x1080,AMD,A8-Series 7410,2.2,128GB HDD,0,128.0,HDD,0.0,0,35,10,17,0
Lenovo,Notebook,17.3,Windows 10,2.6,312.6,4.0,0,0,1600x900,AMD,A8-Series 7410,2.2,128GB HDD,0,128.0,HDD,0.0,0,29,10,17,0
HP,Notebook,17.3,Windows 10,2.04,351.6,4.0,0,0,1920x1080,AMD,A9-Series 9410,2.9,128GB HDD,0,128.0,HDD,0.0,0,35,11,29,0
HP,Notebook,17.3,Windows 10,2.04,351.6,4.0,0,0,1920x1080,AMD,A9-Series 9410,2.9,128GB HDD,0,128.0,HDD,0.0,0,35,11,29,0
HP,Notebook,17.3,Windows 10,2.04,351.6,4.0,0,0,1920x1080,AMD,A9-Series 9410,2.9,128GB HDD,0,128.0,HDD,0.0,0,35,11,29,0
Lenovo,Notebook,15.6,Windows 10,2.2,255.1,4.0,0,0,1920x1080,AMD,A9-Series 9420,2.9,128GB HDD,0,128.0,HDD,0.0,0,35,12,7,0
Acer,Notebook,15.6,Windows 10,2.1,252.5,4.0,0,0,1366x768,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,0,13,17,0
Acer,Notebook,15.6,Windows 10,2.1,255.7,4.0,0,0,1366x768,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,0,13,17,0
Asus,Notebook,15.6,Windows 10,2.03,257.7,4.0,0,0,1366x768,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,0,13,22,0
Acer,Notebook,15.6,Windows 10,2.1,261.5,4.0,0,0,1366x768,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,0,13,17,0
Acer,Notebook,15.6,Windows 10,2.1,272.4,4.0,0,0,1366x768,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,0,13,17,0
Acer,Notebook,15.6,Windows 10,2.1,288.4,4.0,0,0,1366x768,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,0,13,17,0
Asus,Notebook,17.3,Windows 10,1.68,299.9,4.0,0,0,1366x768,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,0,13,22,0
HP,Notebook,15.6,Windows 10,1.91,312.6,4.0,0,0,1920x1080,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,35,13,17,0
HP,Notebook,15.6,Windows 10,2.1,312.6,4.0,0,0,1920x1080,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,35,13,6,0
HP,Notebook,17.3,Windows 10,1.91,319.0,4.0,0,0,1920x1080,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,35,13,6,0
HP,Notebook,17.3,Windows 10,2.6,333.0,4.0,0,0,1600x900,AMD,A9-Series 9420,3.0,128GB HDD,0,128.0,HDD,0.0,0,29,13,17,0
HP,Notebook,15.6,Windows 10,1.95,414.9,4.0,0,0,1920x1080,AMD,A9-Series A9-9420,3.0,256GB SSD,0,256.0,SSD,0.0,0,42,14,7,7
HP,Notebook,15.6,Windows 10,2.1,415.6,4.0,0,0,1920x1080,AMD,A9-Series A9-9420,3.0,256GB SSD,0,256.0,SSD,0.0,0,35,14,6,7
Asus,Notebook,14.0,Windows 10,1.65,177.7,4.0,0,0,1366x768,AMD,E-Series 6110,1.5,128GB HDD,0,128.0,HDD,0.0,0,0,15,12,0
HP,Notebook,14.0,Windows 10,1.86,189.9,4.0,0,0,1366x768,AMD,E-Series 7110,1.8,128GB HDD,0,128.0,HDD,0.0,0,0,16,13,0
Asus,Notebook,15.6,Windows 10,2.0,223.1,4.0,0,0,1366x768,AMD,E-Series 7110,1.8,128GB HDD,0,128.0,HDD,0.0,0,0,16,13,0
Lenovo,Notebook,14.0,Windows 10,2.2,191.2,4.0,0,0,1366x768,AMD,E-Series 9000,2.2,128GB HDD,0,128.0,HDD,0.0,0,0,17,13,0
HP,Notebook,15.6,Windows 10,2.1,211.0,4.0,0,0,1366x768,AMD,E-Series 9000e,1.5,128GB HDD,0,128.0,HDD,0.0,0,0,18,12,0
Asus,Notebook,11.6,Windows 10,1.65,127.2,4.0,0,0,1366x771,AMD,E-Series E2-6110,1.5,128GB HDD,0,128.0,HDD,0.0,0,3,19,12,0
Lenovo,Notebook,15.6,Windows 10,2.2,223.1,4.0,0,0,1366x768,AMD,E-Series E2-9000,2.2,128GB HDD,0,128.0,HDD,0.0,0,0,20,13,0
HP,Notebook,15.6,Windows 10,2.1,223.1,4.0,0,0,1920x1080,AMD,E-Series E2-9000e,1.5,128GB HDD,0,128.0,HDD,0.0,0,35,21,12,0
Lenovo,Ultrabook,15.6,Windows 10,2.5,638.7,16.0,0,0,1920x1080,AMD,FX 8800P,2.1,1TB HDD,0,1000.0,HDD,0.0,0,42,22,33,3
Asus,Notebook,15.6,Windows 10,2.45,446.9,8.0,0,0,1920x1080,AMD,FX 9830P,3.0,500GB HDD,0,500.0,HDD,0.0,0,35,23,36,10
Asus,Ultrabook,17.3,Windows 10 S,3.2,1083.7,8.0,0,0,1920x1080,AMD,Ryzen 1600,3.2,256GB SSD,0,256.0,SSD,0.0,0,35,24,37,7
Asus,Ultrabook,17.3,Windows 10 S,3.2,830.5,8.0,0,0,1920x1080,AMD,Ryzen 1700,3.0,128GB SSD,1,128.0,SSD,1000.0,1,35,25,37,2
Asus,Gaming,17.3,Windows 10 S,3.2,990.4,16.0,0,0,1920x1080,AMD,Ryzen 1700,3.0,256GB SSD,1,256.0,SSD,1000.0,1,35,25,37,8
Asus,Gaming,17.3,System Windows 11 Pro,3.25,1406.0,16.0,0,0,1920x1080,AMD,Ryzen 1700,3.0,512GB SSD,1,512.0,SSD,1000.0,1,42,25,37,12
Chuwi,Notebook,11.6,Windows 10,1.89,156.6,4.0,0,0,1366x785,Intel,Atom x5-Z8300,1.44,128GB HDD,0,128.0,HDD,0.0,0,17,28,40,0
Asus,Notebook,11.6,Windows 10,0.98,122.7,4.0,0,0,1366x768,Intel,Atom x5-Z8350,1.44,128GB HDD,0,128.0,HDD,0.0,0,0,29,41,0
Vero,Notebook,11.6,Windows 10,1.35,125.3,4.0,0,0,1366x769,Intel,Atom X5-Z8350,1.44,128GB HDD,0,128.0,HDD,0.0,0,1,26,41,0
Vero,Notebook,11.6,Windows 10,1.45,134.8,4.0,0,0,1366x777,Intel,Atom X5-Z8350,1.44,128GB HDD,0,128.0,HDD,0.0,0,9,26,41,0
Mediacom,Notebook,11.6,Windows 10,1.4,152.8,4.0,0,0,1366x783,Intel,Atom x5-Z8350,1.44,128GB HDD,0,128.0,HDD,0.0,0,15,29,40,0
Chuwi,Notebook,11.6,Windows 10,1.89,159.1,4.0,0,0,1366x786,Intel,Atom x5-Z8350,1.44,128GB HDD,0,128.0,HDD,0.0,0,18,29,40,0
Mediacom,Notebook,11.6,Windows 10,1.4,159.2,4.0,0,0,1366x790,Intel,Atom x5-Z8350,1.44,128GB HDD,0,128.0,HDD,0.0,0,22,29,40,0
Mediacom,Notebook,11.6,Windows 10,1.35,163.0,4.0,0,0,1366x791,Intel,Atom x5-Z8350,1.44,128GB HDD,0,128.0,HDD,0.0,0,23,29,40,0
Lenovo,Notebook,14.0,Windows 10,0.69,204.0,4.0,0,1,1920x1200,Intel,Atom x5-Z8550,1.44,128GB HDD,0,128.0,HDD,0.0,0,54,30,41,0
Lenovo,Notebook,17.3,Windows 10,0.69,306.3,4.0,0,1,1920x1200,Intel,Atom x5-Z8550,1.44,128GB HDD,0,128.0,HDD,0.0,0,54,30,41,0
Lenovo,Notebook,17.3,Windows 10,0.69,351.0,4.0,0,1,1920x1200,Intel,Atom x5-Z8550,1.44,128GB HDD,0,128.0,HDD,0.0,0,54,30,41,0
Lenovo,Notebook,17.3,Windows 10,0.69,413.2,4.0,0,1,1920x1200,Intel,Atom x5-Z8550,1.44,256GB SSD,0,256.0,SSD,0.0,0,54,30,41,7
Mediacom,Notebook,11.6,Windows 10,1.4,169.4,4.0,0,0,1366x795,Intel,Atom Z8350,1.92,128GB HDD,0,128.0,HDD,0.0,0,27,27,41,0
Acer,Notebook,11.6,Windows 10,1.3,111.2,4.0,0,0,1366x768,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,0,128.0,HDD,0.0,0,0,31,40,0
Acer,Notebook,11.6,Windows 10,2.19,127.2,4.0,0,0,1366x770,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,0,128.0,HDD,0.0,0,2,31,40,0
Acer,Notebook,11.6,Windows 10,2.2,133.6,4.0,0,0,1366x773,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,0,128.0,HDD,0.0,0,5,31,40,0
Acer,Notebook,15.6,Windows 10,2.2,229.5,4.0,0,0,1920x1080,Intel,Celeron Dual Core 3205U,1.5,128GB HDD,0,128.0,HDD,0.0,0,42,31,40,0
Lenovo,Notebook,14.0,Windows 10,2.1,203.3,4.0,0,0,1366x768,Intel,Celeron Dual Core 3855U,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,32,45,0
Acer,Notebook,15.6,Windows 10,1.45,239.8,4.0,0,0,1366x768,Intel,Celeron Dual Core 3855U,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,32,45,0
Lenovo,Notebook,13.3,Windows 10,1.45,294.0,4.0,0,0,1366x768,Intel,Celeron Dual Core 3855U,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,32,45,0
Lenovo,Notebook,11.6,Windows 10,1.5,146.4,4.0,0,0,1366x780,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,12,33,40,0
Lenovo,Notebook,11.6,Windows 10,1.5,146.4,4.0,0,0,1366x781,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,13,33,40,0
Lenovo,Notebook,11.6,Windows 10,1.5,146.4,4.0,0,0,1366x782,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,14,33,40,0
Acer,Notebook,11.6,Windows 10,1.4,172.0,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Asus,Notebook,15.6,Windows 10,2.2,235.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Asus,Notebook,15.6,Windows 10,2.2,235.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Asus,Notebook,15.6,Windows 10,2.2,235.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Asus,Notebook,15.6,Windows 10,2.2,235.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Dell,Notebook,15.6,Windows 10,2.2,242.3,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Dell,Notebook,15.6,Windows 10,2.2,242.3,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Dell,Notebook,15.6,Windows 10,2.2,242.3,4.0,0,0,1366x768,Intel,Celeron Dual Core N3050,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,33,40,0
Dell,Notebook,14.0,Windows 10,1.8,197.6,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,34,41,0
HP,Notebook,11.6,Windows 10,1.17,133.6,4.0,0,0,1366x774,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,6,35,41,0
HP,Notebook,11.6,Windows 10,1.17,133.6,4.0,0,0,1366x775,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,7,35,41,0
HP,Notebook,11.6,Windows 10,1.17,133.6,4.0,0,0,1366x776,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,8,35,41,0
HP,Notebook,11.6,Windows 10,1.44,146.4,4.0,0,0,1366x779,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,11,35,41,0
Lenovo,Notebook,11.6,Windows 10,1.42,159.2,4.0,0,0,1366x787,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,19,35,41,0
HP,Notebook,11.6,Windows 10,1.44,159.2,4.0,0,0,1366x788,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,20,35,41,0
Lenovo,Notebook,11.6,Windows 10,1.25,169.4,4.0,0,0,1366x794,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,26,35,41,0
Samsung,Notebook,11.6,Windows 10,1.15,172.0,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Lenovo,Notebook,11.6,Windows 10,1.43,175.2,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,40,0
Dell,Notebook,11.6,Windows 10,2.2,175.8,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,40,0
HP,Notebook,14.0,Windows 10,1.44,178.4,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Asus,Notebook,14.0,Windows 10,1.2,184.1,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Acer,Notebook,14.0,Windows 10,2.4,184.8,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Acer,Notebook,14.0,Windows 10,2.4,184.8,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Acer,Notebook,14.0,Windows 10,2.4,184.8,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Dell,Notebook,14.0,Windows 10,1.26,188.6,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Acer,Notebook,14.0,Windows 10,1.25,189.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,36,35,41,0
Acer,Notebook,14.0,Windows 10,1.68,211.0,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
HP,Notebook,15.6,Windows 10,2.1,221.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Acer,Notebook,15.6,Windows 10,1.68,223.1,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Acer,Notebook,15.6,Windows 10,1.35,227.0,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,36,35,41,0
HP,Notebook,15.6,Windows 10,1.23,246.2,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Acer,Notebook,15.6,Windows 10,1.25,248.7,4.0,0,1,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,53,35,41,0
Acer,Notebook,11.6,Windows 10,1.4,278.1,4.0,0,0,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,35,41,0
Lenovo,Notebook,17.3,Windows 10,1.4,303.7,4.0,0,1,1366x768,Intel,Celeron Dual Core N3060,1.6,128GB HDD,0,128.0,HDD,0.0,0,62,35,41,0
Vero,Notebook,11.6,Windows 10,1.22,129.7,4.0,0,0,1366x772,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,4,36,43,0
Asus,Notebook,11.6,Windows 10,2.0,143.2,4.0,0,0,1366x778,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,10,36,43,0
Asus,Notebook,11.6,Windows 10,1.1,156.6,4.0,0,0,1366x784,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,16,36,43,0
Lenovo,Notebook,11.6,Windows 10,1.44,159.2,4.0,0,0,1366x789,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,21,36,43,0
Vero,Notebook,11.6,Windows 10,1.3,166.2,4.0,0,0,1366x793,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,25,36,43,0
Asus,Notebook,11.6,Windows 10,2.0,175.8,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,11.6,Windows 10,1.1,175.8,2.0,0,1,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,62,36,43,0
Asus,Notebook,14.0,Windows 10,1.5,177.7,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,14.0,Windows 10,1.5,182.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Lenovo,Notebook,14.0,Windows 10,1.44,186.7,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,14.0,Windows 10,1.5,190.5,4.0,0,0,1920x1080,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,35,36,43,0
Mediacom,Notebook,14.0,Windows 10,1.16,191.2,4.0,0,1,1920x1080,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,40,36,43,0
Asus,Notebook,14.0,Windows 10,1.63,191.2,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Lenovo,Notebook,14.0,Windows 10,2.1,191.2,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Lenovo,Notebook,14.0,Windows 10,1.15,194.7,2.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Lenovo,Notebook,14.0,Windows 10,2.2,195.6,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,15.6,Windows 10,2.0,216.7,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,15.6,Windows 10,1.2,217.4,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,15.6,Windows 10,2.0,219.9,4.0,0,0,1920x1080,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,35,36,43,0
Asus,Notebook,15.6,Windows 10,1.65,222.5,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Acer,Notebook,15.6,Windows 10,2.1,222.5,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,15.6,Windows 10,1.5,239.8,4.0,0,1,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,62,36,43,0
Asus,Notebook,15.6,Windows 10,2.0,255.1,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Asus,Notebook,15.6,Windows 10,1.86,267.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
Lenovo,Notebook,15.6,Windows 10,2.2,267.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,0,36,43,0
HP,Notebook,11.6,Windows 10,1.4,316.5,8.0,0,1,1366x768,Intel,Celeron Dual Core N3350,1.1,128GB HDD,0,128.0,HDD,0.0,0,62,36,43,0
HP,Notebook,15.6,Windows 10,1.4,393.2,4.0,0,1,1366x768,Intel,Celeron Dual Core N3350,1.1,256GB SSD,0,256.0,SSD,0.0,0,62,36,43,7
Acer,Notebook,15.6,Windows 10,1.25,223.1,4.0,0,1,1920x1080,Intel,Celeron Dual Core N3350,2.0,128GB HDD,0,128.0,HDD,0.0,0,40,37,43,0
Acer,Notebook,11.6,Windows 10,2.1,173.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,2.0,128GB HDD,0,128.0,HDD,0.0,0,0,38,43,0
Acer,Notebook,15.6,Windows 10,2.1,212.9,4.0,0,0,1366x768,Intel,Celeron Dual Core N3350,2.0,128GB HDD,0,128.0,HDD,0.0,0,0,38,43,0
Lenovo,Notebook,14.0,Windows 10,1.5,207.8,4.0,0,0,1366x768,Intel,Celeron Quad Core N3160,1.6,128GB HDD,0,128.0,HDD,0.0,0,0,39,41,0
Acer,Notebook,15.6,Windows 10,1.25,242.3,4.0,0,1,1366x768,Intel,Celeron Quad Core N3160,1.6,128GB HDD,0,128.0,HDD,0.0,0,53,39,41,0
Acer,Notebook,14.0,Windows 10,1.6,210.3,4.0,0,0,1920x1080,Intel,Celeron Quad Core N3450,1.1,128GB HDD,0,128.0,HDD,0.0,0,35,40,43,0
